nombre,cx,cy,cz,sx,sy,sz
B10-2,1375.64,392.55,44.88,35.43,16.54,21.26
B09-2,1375.64,375.22,44.88,35.43,16.54,21.26
B06-1,1375.12,323.89,10.63,35.43,16.54,21.26
B07-2,1375.64,340.58,44.88,35.43,16.54,21.26
B08-2,1375.64,357.9,44.88,35.43,16.54,21.26
B08-1,1375.12,358.54,10.63,35.43,16.54,21.26
B10-1,1375.12,393.18,10.63,35.43,16.54,21.26
B09-1,1375.12,375.86,10.63,35.43,16.54,21.26
B07-1,1375.12,341.21,10.63,35.43,16.54,21.26
A01-3,1520.79,206.1,88.58,47.24,39.37,55.12
A02-3,1520.79,249.62,88.58,47.24,39.37,55.12
A03-3,1520.79,301.09,88.58,47.24,39.37,55.12
A04-3,1520.79,344.62,88.58,47.24,39.37,55.12
A01-4,1520.79,206.1,150.33,47.24,39.37,55.12
A03-4,1520.79,301.09,150.33,47.24,39.37,55.12
A04-4,1520.79,344.62,150.33,47.24,39.37,55.12
A02-4,1520.79,249.62,150.33,47.24,39.37,55.12
A04-5,1520.79,344.62,211.22,47.24,39.37,55.12
A02-5,1520.79,249.62,211.22,47.24,39.37,55.12
A01-5,1520.79,206.1,211.22,47.24,39.37,55.12
A03-5,1520.79,301.09,211.22,47.24,39.37,55.12
A05-3,1520.79,394.28,88.58,47.24,39.37,55.12
A07-3,1520.79,489.28,88.58,47.24,39.37,55.12
A08-3,1520.79,532.8,88.58,47.24,39.37,55.12
A06-3,1520.79,437.81,88.58,47.24,39.37,55.12
A08-4,1520.79,532.8,150.33,47.24,39.37,55.12
A06-4,1520.79,437.81,150.33,47.24,39.37,55.12
A08-5,1520.79,532.8,211.22,47.24,39.37,55.12
A06-5,1520.79,437.81,211.22,47.24,39.37,55.12
A05-4,1520.79,394.28,150.33,47.24,39.37,55.12
A07-4,1520.79,489.28,150.33,47.24,39.37,55.12
A05-5,1520.79,394.28,211.22,47.24,39.37,55.12
A07-5,1520.79,489.28,211.22,47.24,39.37,55.12
A09-3,1520.79,583.41,88.58,47.24,39.37,55.12
A13-3,1520.79,771.59,88.58,47.24,39.37,55.12
A15-3,1520.79,866.58,88.58,47.24,39.37,55.12
A11-3,1520.79,678.4,88.58,47.24,39.37,55.12
A10-3,1520.79,626.93,88.58,47.24,39.37,55.12
A16-3,1520.79,910.11,88.58,47.24,39.37,55.12
A12-4,1520.79,721.92,150.33,47.24,39.37,55.12
A10-4,1520.79,626.93,150.33,47.24,39.37,55.12
A12-5,1520.79,721.92,211.22,47.24,39.37,55.12
A10-5,1520.79,626.93,211.22,47.24,39.37,55.12
A09-4,1520.79,583.41,150.33,47.24,39.37,55.12
A11-4,1520.79,678.4,150.33,47.24,39.37,55.12
A09-5,1520.79,583.41,211.22,47.24,39.37,55.12
A11-5,1520.79,678.4,211.22,47.24,39.37,55.12
A14-3,1520.79,815.11,88.58,47.24,39.37,55.12
A15-5,1520.79,866.58,211.22,47.24,39.37,55.12
A16-5,1520.79,910.11,211.22,47.24,39.37,55.12
A14-5,1520.79,815.11,211.22,47.24,39.37,55.12
A13-4,1520.79,771.59,150.33,47.24,39.37,55.12
A13-5,1520.79,771.59,211.22,47.24,39.37,55.12
A14-4,1520.79,815.11,150.33,47.24,39.37,55.12
A15-4,1520.79,866.58,150.33,47.24,39.37,55.12
A16-4,1520.79,910.11,150.33,47.24,39.37,55.12
A12-3,1520.79,722.38,88.58,47.24,39.37,55.12
A22-4,1520.79,1195.03,150.33,47.24,39.37,55.12
A20-5,1520.79,1100.04,211.22,47.24,39.37,55.12
A19-5,1520.79,1056.51,211.22,47.24,39.37,55.12
A17-4,1520.79,963.32,150.33,47.24,39.37,55.12
A17-5,1520.79,963.32,211.22,47.24,39.37,55.12
A18-5,1520.79,1006.85,211.22,47.24,39.37,55.12
A21-5,1520.79,1151.51,211.22,47.24,39.37,55.12
A22-5,1520.79,1195.03,211.22,47.24,39.37,55.12
A20-3,1520.79,1100.04,88.58,47.24,39.37,55.12
A19-4,1520.79,1056.51,150.33,47.24,39.37,55.12
A20-4,1520.79,1100.04,150.33,47.24,39.37,55.12
A21-4,1520.79,1151.51,150.33,47.24,39.37,55.12
A18-3,1520.79,1007.3,88.58,47.24,39.37,55.12
A21-3,1520.79,1151.51,88.58,47.24,39.37,55.12
A17-3,1520.79,963.32,88.58,47.24,39.37,55.12
A19-3,1520.79,1056.51,88.58,47.24,39.37,55.12
A22-3,1520.79,1195.03,88.58,47.24,39.37,55.12
A18-4,1520.79,1006.85,150.33,47.24,39.37,55.12
B01-3,1375.12,201.42,88.58,47.24,39.37,55.12
B02-3,1375.12,244.95,88.58,47.24,39.37,55.12
B02-4,1375.12,244.95,150.33,47.24,39.37,55.12
B02-5,1375.12,244.95,211.22,47.24,39.37,55.12
B01-4,1375.12,201.42,150.33,47.24,39.37,55.12
B01-5,1375.12,201.42,211.22,47.24,39.37,55.12
B03-3,1375.12,337.88,88.58,47.24,39.37,55.12
B04-3,1375.12,381.41,88.58,47.24,39.37,55.12
B04-4,1375.12,381.41,150.33,47.24,39.37,55.12
B04-5,1375.12,381.41,211.22,47.24,39.37,55.12
B03-4,1375.12,337.88,150.33,47.24,39.37,55.12
B03-5,1375.12,337.88,211.22,47.24,39.37,55.12
B05-3,1375.12,582.05,88.58,47.24,39.37,55.12
B15-3,1375.12,1055.15,88.58,47.24,39.37,55.12
B13-4,1375.12,961.96,150.33,47.24,39.37,55.12
B16-4,1375.12,1098.68,150.33,47.24,39.37,55.12
B13-3,1375.12,961.96,88.58,47.24,39.37,55.12
B15-5,1375.12,1055.15,211.22,47.24,39.37,55.12
B18-3,1375.12,1193.67,88.58,47.24,39.37,55.12
B18-5,1375.12,1193.67,211.22,47.24,39.37,55.12
B13-5,1375.12,961.96,211.22,47.24,39.37,55.12
B14-3,1375.12,1005.94,88.58,47.24,39.37,55.12
B16-3,1375.12,1098.68,88.58,47.24,39.37,55.12
B14-5,1375.12,1005.49,211.22,47.24,39.37,55.12
B16-5,1375.12,1098.68,211.22,47.24,39.37,55.12
B17-5,1375.12,1150.15,211.22,47.24,39.37,55.12
B15-4,1375.12,1055.15,150.33,47.24,39.37,55.12
B17-4,1375.12,1150.15,150.33,47.24,39.37,55.12
B17-3,1375.12,1150.15,88.58,47.24,39.37,55.12
B12-4,1375.12,908.75,150.33,47.24,39.37,55.12
B05-5,1375.12,582.05,211.22,47.24,39.37,55.12
B10-5,1375.12,813.76,211.22,47.24,39.37,55.12
B09-5,1375.12,770.23,211.22,47.24,39.37,55.12
B06-5,1375.12,625.57,211.22,47.24,39.37,55.12
B07-4,1375.12,677.04,150.33,47.24,39.37,55.12
B07-5,1375.12,677.04,211.22,47.24,39.37,55.12
B08-5,1375.12,720.57,211.22,47.24,39.37,55.12
B05-4,1375.12,582.05,150.33,47.24,39.37,55.12
B11-5,1375.12,865.22,211.22,47.24,39.37,55.12
B12-5,1375.12,908.75,211.22,47.24,39.37,55.12
B10-3,1375.12,813.76,88.58,47.24,39.37,55.12
B09-4,1375.12,770.23,150.33,47.24,39.37,55.12
B10-4,1375.12,813.76,150.33,47.24,39.37,55.12
B11-4,1375.12,865.22,150.33,47.24,39.37,55.12
B08-3,1375.12,721.02,88.58,47.24,39.37,55.12
B18-4,1375.12,1193.67,150.33,47.24,39.37,55.12
B06-4,1375.12,625.57,150.33,47.24,39.37,55.12
B11-3,1375.12,865.22,88.58,47.24,39.37,55.12
B07-3,1375.12,677.04,88.58,47.24,39.37,55.12
B09-3,1375.12,770.23,88.58,47.24,39.37,55.12
B06-3,1375.12,625.57,88.58,47.24,39.37,55.12
B12-3,1375.12,908.75,88.58,47.24,39.37,55.12
B08-4,1375.12,720.57,150.33,47.24,39.37,55.12
B14-4,1375.12,1005.49,150.33,47.24,39.37,55.12
C01-3,1323.94,582.28,88.58,47.24,39.37,55.12
C11-3,1323.94,1055.39,88.58,47.24,39.37,55.12
C09-4,1323.94,962.2,150.33,47.24,39.37,55.12
C12-4,1323.94,1098.91,150.33,47.24,39.37,55.12
C09-3,1323.94,962.2,88.58,47.24,39.37,55.12
